osiics_16_code;problem_type;osiics_16_level_1;osiics_16_level_2;osiics_16_level_3;osiics_16_level_4
EU1;Injury;Elbow;Ligament/joint capsule;Chronic instability;Elbow valgus instability
EU2;Injury;Elbow;Ligament/joint capsule;Chronic instability;Elbow posterolateral instability
EUX;Injury;Elbow;Ligament/joint capsule;Chronic instability;Elbow instability
EV1;Injury;Elbow;Superficial tissues/skin;Contusion (superficial);Elbow contusion/haematoma
EKX;Injury;Elbow;Muscle/tendon;Laceration;Elbow laceration
EK1;Injury;Elbow;Muscle/tendon;Laceration;Elbow laceration deep
EISP;Injury;Elbow;Superficial tissues/skin;Abrasion;Elbow skin pressure injury
EI1;Injury;Elbow;Superficial tissues/skin;Abrasion;Elbow abrasion superficial
EII;Injury;Elbow;Superficial tissues/skin;Abrasion;Complication of elbow laceration including infection
EWI;Injury;Elbow;Stump;Stump injury;Infection of stump elbow
EWS;Injury;Elbow;Stump;Stump injury;Stump pressure injury elbow
EPX;Injury;Elbow;Non-specific;Injury without tissue type specified;Elbow pain without tissue type specified
EZZ;Injury;Elbow;Non-specific;Unknown;Elbow pain/injury not otherwise specified
EZ1;Injury;Elbow;Non-specific;Unknown;Elbow pain undiagnosed
EZS;Injury;Elbow;Non-specific;Unknown;Post elbow surgery
EZX;Injury;Elbow;Non-specific;Unknown;Elbow injuries
RMF;Injury;Forearm;Muscle/tendon;Muscle injury;Forearm flexor muscle strain
RMT;Injury;Forearm;Muscle/tendon;Muscle injury;Forearm muscle soreness
RME;Injury;Forearm;Muscle/tendon;Muscle injury;Forearm extensor muscle strain
RM1;Injury;Forearm;Muscle/tendon;Muscle injury;Forearm muscle injury
RH1;Injury;Forearm;Superficial tissues/skin;Contusion (superficial);Forearm contusion/haematoma
RYC;Injury;Forearm;Muscle/tendon;Muscle compartment syndrome;Forearm compartment syndrome
RTI;Injury;Forearm;Muscle/tendon;Tendinopathy;Intersection syndrome
RTY;Injury;Forearm;Muscle/tendon;Tendinopathy;Forearm extensor tenosynovitis
RTS;Injury;Forearm;Muscle/tendon;Tendinopathy;Forearm splints/medial ulnar stress syndrome
RTF;Injury;Forearm;Muscle/tendon;Tendinopathy;Forearm flexor tendon injury
RTE;Injury;Forearm;Muscle/tendon;Tendinopathy;Forearm extensor tendon injury
RT1;Injury;Forearm;Muscle/tendon;Tendinopathy;Forearm extensor tendinopathy
RTX;Injury;Forearm;Muscle/tendon;Tendinopathy;Forearm tendon injury
LNZ;Injury;Lumbosacral;Nervous;Peripheral nerve injury;Other lumbosacral nerve injury
RFM;Injury;Forearm;Bone;Fracture;Fractured ulna midshaft
RFB;Injury;Forearm;Bone;Fracture;Fracture radius and ulna midshaft
RF1;Injury;Forearm;Bone;Fracture;Fractured forearm bone(s)
RFA;Injury;Forearm;Bone;Fracture;Monteggia fracture - midshaft ulna fracture and dislocation radial head at elbow
RFC;Injury;Forearm;Bone;Fracture;Colles fracture radius
RFR;Injury;Forearm;Bone;Fracture;Fracture radius midshaft
RFG;Injury;Forearm;Bone;Fracture;Galeazzi fracture - midshaft radius fracture, dislocation distal radioulnar joint
RFS;Injury;Forearm;Bone;Fracture;Smiths fracture distal radius
RFU;Injury;Forearm;Bone;Fracture;Fracture of distal ulna
RFD;Injury;Forearm;Bone;Fracture;Fractured distal radius
RSXR;Injury;Forearm;Bone;Bone stress injury;Radial stress fracture involving cortex
RSXU;Injury;Forearm;Bone;Bone stress injury;Ulna stress fracture involving cortex
RSOU;Injury;Forearm;Bone;Bone stress injury;Bone oedema ulna
RSOR;Injury;Forearm;Bone;Bone stress injury;Bone oedema radius
RS1;Injury;Forearm;Bone;Bone stress injury;Bone stress lesion radius and/or ulna
RSX;Injury;Forearm;Bone;Bone stress injury;Forearm stress fracture
RJX;Injury;Forearm;Bone;Bone contusion;Forearm bone contusion
RK1;Injury;Forearm;Muscle/tendon;Laceration;Complication of forearm laceration including infection
RIX;Injury;Forearm;Superficial tissues/skin;Abrasion;Forearm abrasion
RWS;Injury;Forearm;Stump;Stump injury;Stump pressure injury forearm
RWI;Injury;Forearm;Stump;Stump injury;Infection of stump forearm
RP1;Injury;Forearm;Non-specific;Injury without tissue type specified;Other stress/overuse injuries to forearm
RZX;Injury;Forearm;Non-specific;Unknown;Forearm pain/injury not otherwise specified
RZ1;Injury;Forearm;Non-specific;Unknown;Forearm pain/injury undiagnosed
WMX;Injury;Wrist;Muscle/tendon;Muscle injury;Wrist and hand muscle injury
WH1;Injury;Wrist;Superficial tissues/skin;Contusion (superficial);Wrist bruising/haematoma
WTT;Injury;Wrist;Muscle/tendon;Tendinopathy;Thumb tendon injury
WT1;Injury;Wrist;Muscle/tendon;Tendinopathy;De quervain's tenosynovitis
WT2;Injury;Wrist;Muscle/tendon;Tendinopathy;Wrist ganglion
WT3;Injury;Wrist;Muscle/tendon;Tendinopathy;Rupture wrist flexor tendon
WT4;Injury;Wrist;Muscle/tendon;Tendinopathy;Carpal boss
WTX;Injury;Wrist;Muscle/tendon;Tendinopathy;Wrist tendon injury
WTD;Injury;Wrist;Muscle/tendon;Tendinopathy;Wrist extensor tendon injury
WTE;Injury;Wrist;Muscle/tendon;Tendinopathy;Wrist extensor tenosynovitis/tendinopathy at wrist
WTF;Injury;Wrist;Muscle/tendon;Tendinopathy;Wrist flexor tenosynovitis/tendinopathy
WRD;Injury;Wrist;Muscle/tendon;Tendon rupture;Rupture wrist extensor tendon
WRE;Injury;Wrist;Muscle/tendon;Tendon rupture;Other tenosynovitis/tendinopathy thumb
WR1;Injury;Wrist;Muscle/tendon;Tendon rupture;Rupture thumb extensor tendon (excl if complication of wrist fracture - see specific fracture)
LNX;Injury;Lumbosacral;Nervous;Brain/spinal cord injury;Lumbar spine neurological injury
LNP;Injury;Lumbosacral;Nervous;Peripheral nerve injury;Piriformis syndrome (with sciatic nerve impingement)
LNFX;Injury;Lumbosacral;Nervous;Brain/spinal cord injury;Lumbar spinal fracture with associated neurological injury
WFU;Injury;Wrist;Bone;Fracture;Fracture of ulna styloid
WFT;Injury;Wrist;Bone;Fracture;Fractured trapezium
WFS;Injury;Wrist;Bone;Fracture;Fracture radial styloid
WFR;Injury;Wrist;Bone;Fracture;Fracture of distal radius +/- ulna
WFP;Injury;Wrist;Bone;Fracture;Fracture proximal pole scaphoid
WFO;Injury;Wrist;Bone;Fracture;Fractured hook of hamate
WFM;Injury;Wrist;Bone;Fracture;Fracture multiple carpal bones
WFH;Injury;Wrist;Bone;Fracture;Fractured hamate
WFD;Injury;Wrist;Bone;Fracture;Fracture distal pole scaphoid
WF3;Injury;Wrist;Bone;Fracture;Wrist fracture with complication (e.g. extensor pollicus longus rupture)
WF2;Injury;Wrist;Bone;Fracture;Fracture other carpal bone
WF1;Injury;Wrist;Bone;Fracture;Fractured scaphoid
WFW;Injury;Wrist;Bone;Fracture;Fracture waist scaphoid
WS1;Injury;Wrist;Bone;Bone stress injury;Carpal stress fracture
WSH;Injury;Wrist;Bone;Bone stress injury;Hand stress fracture (incl thumb and fingers)
WSX;Injury;Wrist;Bone;Bone stress injury;Wrist and hand stress/overuse injuries
WJ1;Injury;Wrist;Bone;Bone contusion;Other complication of wrist sprain
WJ2;Injury;Wrist;Ligament/joint capsule;Joint sprain;Distal radioulnar joint injury
WJC;Injury;Wrist;Ligament/joint capsule;Joint sprain;Other carpal ligament injury
WEL;Injury;Wrist;Bone;Avascular necrosis;Avascular necrosis lunate
WEN;Injury;Wrist;Bone;Avascular necrosis;Non union fractured scaphoid
WEW;Injury;Wrist;Bone;Avascular necrosis;Avascular necrosis in wrist/hand
WES;Injury;Wrist;Bone;Avascular necrosis;Avascular necrosis scaphoid
LNFC;Injury;Lumbosacral;Nervous;Brain/spinal cord injury;Lumbar spinal fracture with spinal cord/cauda equina injury
LNBP;Injury;Lumbosacral;Nervous;Peripheral nerve injury;Pudendal nerve injury
LN4;Injury;Lumbosacral;Nervous;Brain/spinal cord injury;Lumbosacral nerve stretch/traction injury
WCX;Injury;Wrist;Cartilage/synovium/bursa;Cartilage injury;Wrist osteochondral/chondral injury
WC1;Injury;Wrist;Cartilage/synovium/bursa;Cartilage injury;Wrist fibrocartilage tear
WA1;Injury;Wrist;Cartilage/synovium/bursa;Arthritis;Wrist Osteoarthritis
WAS;Injury;Wrist;Cartilage/synovium/bursa;Arthritis;Scapholunate advanced collapse (SLAC)
WAW;Injury;Wrist;Cartilage/synovium/bursa;Arthritis;Wrist (radiocarpal) osteoarthritis
WQW;Injury;Wrist;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic synovitis of wrist
WQU;Injury;Wrist;Cartilage/synovium/bursa;Synovitis/capsulitis;Ulnar abutment syndrome
WLR;Injury;Wrist;Ligament/joint capsule;Joint sprain;Scapholunate ligament rupture
WL1;Injury;Wrist;Ligament/joint capsule;Joint sprain;Lunate - triquetral sprain
WLJ;Injury;Wrist;Ligament/joint capsule;Joint sprain;Sprained/jarred wrist joint
WLL;Injury;Wrist;Ligament/joint capsule;Joint sprain;Scapholunate ligament sprain/tear
WLS;Injury;Wrist;Ligament/joint capsule;Joint sprain;Scapholunate ligament sprain
WD1;Injury;Wrist;Ligament/joint capsule;Joint sprain;Dislocation through carpus
WDC;Injury;Wrist;Ligament/joint capsule;Joint sprain;Dislocation of CMC joint of fingers
WDD;Injury;Wrist;Ligament/joint capsule;Joint sprain;Distal radioulnar joint dislocation
WDP;Injury;Wrist;Ligament/joint capsule;Joint sprain;Dislocation of thumb joint
WDX;Injury;Wrist;Ligament/joint capsule;Joint sprain;Wrist and hand dislocations
WDW;Injury;Wrist;Ligament/joint capsule;Joint sprain;Radiocarpal joint dislocation
WU1;Injury;Wrist;Ligament/joint capsule;Chronic instability;Scapholunate Dorsal intercalated segment instability (DISI)
WUC;Injury;Wrist;Ligament/joint capsule;Chronic instability;Carpal instability
WU2;Injury;Wrist;Ligament/joint capsule;Chronic instability;Distal radioulnar joint instability
WUP;Injury;Wrist;Ligament/joint capsule;Chronic instability;Thumb instability
WUV;Injury;Wrist;Ligament/joint capsule;Chronic instability;Visi (volar intercalated segmental instability) wrist
WUW;Injury;Wrist;Ligament/joint capsule;Chronic instability;Radiocarpal joint instability
WUX;Injury;Wrist;Ligament/joint capsule;Chronic instability;Chronic wrist instability
WVF;Injury;Wrist;Superficial tissues/skin;Contusion (superficial);Finger bruising/haematoma
WVX;Injury;Wrist;Vessels;Vascular trauma;Wrist vascular injury
WVA;Injury;Wrist;Vessels;Vascular trauma;Wrist arterial injury (incl aneurysm)
WV1;Injury;Wrist;Superficial tissues/skin;Contusion (superficial);Wrist soft tissue bruising/haematoma
WKW;Injury;Wrist;Muscle/tendon;Laceration;Wrist laceration/abrasion
WKV;Injury;Wrist;Muscle/tendon;Laceration;Volar wrist laceration/abrasion
WKPU;Injury;Wrist;Muscle/tendon;Laceration;Laceration of thumb nail/nailbed
WKL;Injury;Wrist;Muscle/tendon;Laceration;Palmar hand laceration
WKC;Injury;Wrist;Muscle/tendon;Laceration;Callous of wrist/hand (incl fingers/thumb)
WKB;Injury;Wrist;Muscle/tendon;Laceration;Blisters of wrist/hand (incl fingers/thumb)
WK1;Injury;Wrist;Muscle/tendon;Laceration;Dorsal wrist laceration/abrasion
WIX;Injury;Wrist;Superficial tissues/skin;Abrasion;Wrist abrasion
WP1;Injury;Wrist;Non-specific;Injury without tissue type specified;Wrist and hand impingement/synovitis
PZH;Injury;Wrist;Non-specific;Unknown;Other hand pain not otherwise specified
WZS;Injury;Wrist;Non-specific;Unknown;Post surgery on wrist joint
WZW;Injury;Wrist;Non-specific;Unknown;Other wrist pain not otherwise specified
WZZ;Injury;Wrist;Non-specific;Unknown;Wrist or hand pain undiagnosed
WZ1;Injury;Wrist;Non-specific;Unknown;Other wrist injury not otherwise specified
PM1;Injury;Hand;Muscle/tendon;Muscle injury;Hand intrinsic muscle injury
PH1;Injury;Hand;Muscle/tendon;Muscle contusion;Hand muscle bruising/haematoma
PT1;Injury;Hand;Muscle/tendon;Tendinopathy;Index finger flexor tendon rupture
PTT;Injury;Hand;Muscle/tendon;Tendinopathy;Trigger thumb
PTP;Injury;Hand;Muscle/tendon;Tendinopathy;Flexor pulley injury fingers
PTG;Injury;Hand;Muscle/tendon;Tendinopathy;Trigger finger
PTD;Injury;Hand;Muscle/tendon;Tendinopathy;Dupytren's contracture
PTF;Injury;Hand;Muscle/tendon;Tendinopathy;Finger flexor tenosynovitis/tendinopathy
PTP2;Injury;Hand;Muscle/tendon;Tendinopathy;Flexor A2 pulley injury
PTP4;Injury;Hand;Muscle/tendon;Tendinopathy;Flexor A4 pulley injury
PRB;Injury;Hand;Muscle/tendon;Tendon rupture;Middle finger extensor tendon rupture
PRC;Injury;Hand;Muscle/tendon;Tendon rupture;Ring finger extensor tendon rupture
PRE;Injury;Hand;Muscle/tendon;Tendon rupture;Little finger extensor tendon rupture
PRF;Injury;Hand;Muscle/tendon;Tendon rupture;Flexor tendon rupture finger(s)
PRT;Injury;Hand;Muscle/tendon;Tendon rupture;Middle finger flexor tendon rupture
PRX;Injury;Hand;Muscle/tendon;Tendon rupture;Rupture thumb flexor tendon
PRA;Injury;Hand;Muscle/tendon;Tendon rupture;Index finger extensor tendon rupture
PTE;Injury;Hand;Muscle/tendon;Tendinopathy;Finger(s) extensor tenosynovitis/tendinopathy
PR5;Injury;Hand;Muscle/tendon;Tendon rupture;Little finger flexor tendon rupture
PR1;Injury;Hand;Muscle/tendon;Tendon rupture;Finger extensor tendon injury (incl mallet finger +/- avulsion fracture distal phalanx)
PR4;Injury;Hand;Muscle/tendon;Tendon rupture;Ring finger flexor tendon rupture
PFX;Injury;Hand;Bone;Fracture;Multiple metacarpal fractures
PFC;Injury;Hand;Bone;Fracture;Fracture 3rd metacarpal
PF2;Injury;Hand;Bone;Fracture;Fracture 4th metacarpal
PFJ;Injury;Hand;Bone;Fracture;Proximal phalanx fracture little finger
PFI;Injury;Hand;Bone;Fracture;Proximal phalanx fracture ring finger
PFH;Injury;Hand;Bone;Fracture;Proximal phalanx fracture middle finger
PFG;Injury;Hand;Bone;Fracture;Proximal phalanx fracture index finger
PFF;Injury;Hand;Bone;Fracture;Fracture proximal phalanx of thumb
PFL;Injury;Hand;Bone;Fracture;Middle phalanx fracture index finger
PFD;Injury;Hand;Bone;Fracture;Middle phalanx fracture middle finger
PFM;Injury;Hand;Bone;Fracture;Fracture metacarpals 2- 5
PFB;Injury;Hand;Bone;Fracture;Fracture 2nd metacarpal
PFA;Injury;Hand;Bone;Fracture;Avulsion fracture phalanx
PF7;Injury;Hand;Bone;Fracture;Fracture shaft 1st metacarpal
PF5;Injury;Hand;Bone;Fracture;Distal phalanx fracture little finger
PF3;Injury;Hand;Bone;Fracture;Fractured phalanx
PF1;Injury;Hand;Bone;Fracture;Bennett's fracture/dislocation thumb
PFE;Injury;Hand;Bone;Fracture;Fifth metacarpal fracture
PFN;Injury;Hand;Bone;Fracture;Middle phalanx fracture ring finger
PFO;Injury;Hand;Bone;Fracture;Middle phalanx fracture little finger
PFP;Injury;Hand;Bone;Fracture;Distal phalanx fracture index finger
PFQ;Injury;Hand;Bone;Fracture;Distal phalanx fracture middle finger
PFR;Injury;Hand;Bone;Fracture;Rolando fracture (comminuted fracture base 1st MC)
PFS;Injury;Hand;Bone;Fracture;Distal phalanx fracture ring finger
PFT;Injury;Hand;Bone;Fracture;Fractured thumb
PFU;Injury;Hand;Bone;Fracture;Multiple phalangeal fractures fingers
PFK;Injury;Hand;Bone;Fracture;Fracture distal phalanx thumb
PSS;Injury;Hand;Bone;Bone stress injury;Sesamoiditis of thumb
PJX;Injury;Hand;Bone;Bone contusion;Hand bone contusion
PAT;Injury;Hand;Cartilage/synovium/bursa;Arthritis;Osteoarthritis of thumb
PAP;Injury;Hand;Cartilage/synovium/bursa;Arthritis;PIP joint osteoarthritis fingers
PAM;Injury;Hand;Cartilage/synovium/bursa;Arthritis;Metacarpophalangeal joint osteoarthritis
PAI;Injury;Hand;Cartilage/synovium/bursa;Arthritis;Interphalangeal joint osteoarthritis
PAF;Injury;Hand;Cartilage/synovium/bursa;Arthritis;Osteoarthritis of fingers
PA1;Injury;Hand;Cartilage/synovium/bursa;Arthritis;DIP joint osteoarthritis
PAC;Injury;Hand;Cartilage/synovium/bursa;Arthritis;CMC joint osteoarthritis
PQI;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic Synovitis of IP joint thumb
PQ1;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Complication from finger fracture (incl malunion)
PQC;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic synovitis of 1st CMC joint
PQD;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic synovitis of DIP joint(s)
PQF;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic synovitis of fingers
PQX;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic synovitis of thumb
PQP;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic synovitis of PIP joint(s)
PQJ;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic synovitis of MCP joint(s)
PQM;Injury;Hand;Cartilage/synovium/bursa;Synovitis/capsulitis;Chronic synovitis of 1st MCP joint
PLF;Injury;Hand;Ligament/joint capsule;Joint sprain;Finger joint sprain ( PIP and DIP joints)
PLR;Injury;Hand;Ligament/joint capsule;Joint sprain;Thumb radial collateral ligament (RCL) rupture at MCP joint
PLS;Injury;Hand;Ligament/joint capsule;Joint sprain;Thumb sprain
PL2;Injury;Hand;Ligament/joint capsule;Joint sprain;Other hand or finger ligament tear
PLT;Injury;Hand;Ligament/joint capsule;Joint sprain;Thumb ip joint sprain
PL1;Injury;Hand;Ligament/joint capsule;Joint sprain;Sprained ulnar collateral ligament (skier's) thumb
PLM;Injury;Hand;Ligament/joint capsule;Joint sprain;Metacarpophalangeal joint sprain
PLU;Injury;Hand;Ligament/joint capsule;Joint sprain;Thumb ulnar collateral ligament (UCL) rupture at MCP joint (skier's thumb)
PLC;Injury;Hand;Ligament/joint capsule;Joint sprain;Thumb cmc joint sprain
PDB;Injury;Hand;Ligament/joint capsule;Joint sprain;MCP joint dislocation index finger
PDJ;Injury;Hand;Ligament/joint capsule;Joint sprain;PIP joint dislocation little finger
PD1;Injury;Hand;Ligament/joint capsule;Joint sprain;Dislocated metacarpophalangeal or interphalangeal joint
PD5;Injury;Hand;Ligament/joint capsule;Joint sprain;MCP joint dislocation little finger
PDA;Injury;Hand;Ligament/joint capsule;Joint sprain;Complication of thumb joint dislocation
PDY;Injury;Hand;Ligament/joint capsule;Joint sprain;PIP joint dislocation finger unknown
PDC;Injury;Hand;Ligament/joint capsule;Joint sprain;MCP joint dislocation middle finger
PDE;Injury;Hand;Ligament/joint capsule;Joint sprain;MCP joint dislocation of two or more fingers
PDF;Injury;Hand;Ligament/joint capsule;Joint sprain;Dislocation of interphalangeal joint thumb
PDG;Injury;Hand;Ligament/joint capsule;Joint sprain;Proximal interphalangeal (PIP) joint dislocation index finger
PDD;Injury;Hand;Ligament/joint capsule;Joint sprain;MCP joint dislocation ring finger
PDI;Injury;Hand;Ligament/joint capsule;Joint sprain;PIP joint dislocation ring finger
PDX;Injury;Hand;Ligament/joint capsule;Joint sprain;DIP joint dislocation finger unknown
PDK;Injury;Hand;Ligament/joint capsule;Joint sprain;DIP joint dislocation index finger
PDL;Injury;Hand;Ligament/joint capsule;Joint sprain;DIP joint dislocation middle finger
PDM;Injury;Hand;Ligament/joint capsule;Joint sprain;DIP joint dislocation ring finger
PDN;Injury;Hand;Ligament/joint capsule;Joint sprain;Multiple PIP and/or DIP joint dislocations
PDQ;Injury;Hand;Ligament/joint capsule;Joint sprain;Dislocation CMC joint thumb
PDS;Injury;Hand;Ligament/joint capsule;Joint sprain;DIP joint dislocation little finger
PDT;Injury;Hand;Ligament/joint capsule;Joint sprain;Dislocation of MCP joint thumb
PDV;Injury;Hand;Ligament/joint capsule;Joint sprain;Finger joint dislocation with volar plate injury
PDW;Injury;Hand;Ligament/joint capsule;Joint sprain;Dislocation of MCP joint finger(s)
PDH;Injury;Hand;Ligament/joint capsule;Joint sprain;PIP joint dislocation middle finger
PUK;Injury;Hand;Ligament/joint capsule;Chronic instability;Complication of finger MCP joint sprain
PUQ;Injury;Hand;Ligament/joint capsule;Chronic instability;Complication of MCP joint sprain excl chronic instability
PU1;Injury;Hand;Ligament/joint capsule;Chronic instability;Finger PIP or DIP joint instability
PUC;Injury;Hand;Ligament/joint capsule;Chronic instability;Instability 1st CMC joint
PUD;Injury;Hand;Ligament/joint capsule;Chronic instability;Complication of PIP/DIP joint dislocation
PUF;Injury;Hand;Ligament/joint capsule;Chronic instability;Finger MCP joint instability
PUI;Injury;Hand;Ligament/joint capsule;Chronic instability;Interphalangeal joint instability of thumb
PUM;Injury;Hand;Ligament/joint capsule;Chronic instability;Instability 1st MCP joint
PVH;Injury;Hand;Superficial tissues/skin;Contusion (superficial);Thumbnail haematoma
PVN;Injury;Hand;Superficial tissues/skin;Contusion (superficial);Fingernail haematoma
PVT;Injury;Hand;Superficial tissues/skin;Contusion (superficial);Thumb bruising/haematoma
PKH;Injury;Hand;Muscle/tendon;Laceration;Hand laceration
PK2;Injury;Hand;Muscle/tendon;Laceration;Wrist and hand laceration/abrasion
PKF;Injury;Hand;Muscle/tendon;Laceration;Finger laceration
PKN;Injury;Hand;Muscle/tendon;Laceration;Laceration of fingernail/nailbed
PKT;Injury;Hand;Muscle/tendon;Laceration;Thumb laceration
PKD;Injury;Hand;Muscle/tendon;Laceration;Dorsal hand laceration
PIX;Injury;Hand;Superficial tissues/skin;Abrasion;Hand abrasion
PP1;Injury;Hand;Non-specific;Injury without tissue type specified;Other finger pain not otherwise specified
PP2;Injury;Hand;Non-specific;Injury without tissue type specified;Chronic regional pain syndrome
PPT;Injury;Hand;Non-specific;Injury without tissue type specified;Other thumb pain not otherwise specified
PZS;Injury;Hand;Non-specific;Unknown;Post hand surgery
CM2;Injury;Chest;Muscle/tendon;Muscle injury;Chest muscle strain
CH2;Injury;Chest;Superficial tissues/skin;Contusion (superficial);Chest wall soft tissue bruising/haematoma
CT1;Injury;Chest;Muscle/tendon;Tendinopathy;Intercostal tendinopathy
CFA;Injury;Chest;Bone;Fracture;Fracture upper rib (1- 4)
CFX;Injury;Chest;Bone;Fracture;Chest fracture(s)
CFB;Injury;Chest;Bone;Fracture;Fracture middle rib (5 - 9)
CFM;Injury;Chest;Bone;Fracture;Fracture multiple ribs
CF1;Injury;Chest;Bone;Fracture;Fractured rib(s)
CFL;Injury;Chest;Bone;Fracture;Fracture lower rib (10 - 12)
CFC;Injury;Chest;Bone;Fracture;Fracture of costochondral margin
CF2;Injury;Chest;Bone;Fracture;Sternal fracture
CS1;Injury;Chest;Bone;Bone stress injury;Stress fracture rib(s)
CSR;Injury;Chest;Bone;Bone stress injury;Stress reaction rib(s)
CJ1;Injury;Chest;Bone;Bone contusion;Bruised ribs/chest wall
CJS;Injury;Chest;Bone;Bone contusion;Bruised sternum
CCR;Injury;Chest;Cartilage/synovium/bursa;Cartilage injury;Costochondritis
CC1;Injury;Chest;Cartilage/synovium/bursa;Cartilage injury;Costal cartilage/costochondral joint injury
CQC;Injury;Chest;Cartilage/synovium/bursa;Synovitis/capsulitis;Synovitis of chest joint
CQS;Injury;Chest;Cartilage/synovium/bursa;Synovitis/capsulitis;Synovitis of sternoclavicular joint
CLS;Injury;Chest;Ligament/joint capsule;Joint sprain;Sternoclavicular joint sprains
CL1;Injury;Chest;Ligament/joint capsule;Joint sprain;Costovertebral joint sprains
CLP;Injury;Chest;Ligament/joint capsule;Joint sprain;Posterior sternoclavicular joint sprain
CLX;Injury;Chest;Ligament/joint capsule;Joint sprain;Chest joint sprains
CLA;Injury;Chest;Ligament/joint capsule;Joint sprain;Anterior sternoclavicular (S/C) joint sprain
CDS;Injury;Chest;Ligament/joint capsule;Joint sprain;Sternoclavicular joint dislocation
CDX;Injury;Chest;Ligament/joint capsule;Joint sprain;Chest dislocations
CDP;Injury;Chest;Ligament/joint capsule;Joint sprain;Posterior sternoclavicular joint dislocation
CDC;Injury;Chest;Ligament/joint capsule;Joint sprain;Costochondral joint dislocation
CUS;Injury;Chest;Ligament/joint capsule;Chronic instability;Sternoclavicular joint instability
CUC;Injury;Chest;Ligament/joint capsule;Chronic instability;Costochondral joint instability
CVBH;Injury;Chest;Internal organs;Organ trauma;Breast haematoma/trauma
CVB1;Injury;Chest;Internal organs;Organ trauma;Breast haematoma/trauma
CVBR;Injury;Chest;Internal organs;Organ trauma;Breast implant rupture
CVBM;Injury;Chest;Internal organs;Organ trauma;Milk-duct injury
CVB4;Injury;Chest;Internal organs;Organ trauma;Structural breast deformity delayed presentation related to breast trauma
CVB3;Injury;Chest;Internal organs;Organ trauma;Breast fat necrosis or oil cyst delayed presentation related to breast trauma
CVB2;Injury;Chest;Internal organs;Organ trauma;Severe breast haematoma associated with rapid expansion in breast size
CKBX;Injury;Chest;Muscle/tendon;Laceration;Breast laceration
CK8;Injury;Chest;Muscle/tendon;Laceration;Truncal laceration/abrasion not requiring suturing
CKX;Injury;Chest;Muscle/tendon;Laceration;Chest wall laceration/abrasion
CIBC;Injury;Chest;Superficial tissues/skin;Abrasion;Breast of torso chaffing (friction injury)
CII;Injury;Chest;Superficial tissues/skin;Abrasion;Chest wall abrasion (incl complications)
CIBX;Injury;Chest;Superficial tissues/skin;Abrasion;Breast abrasion
CO1;Injury;Chest;Internal organs;Organ trauma;Haemothorax
COP;Injury;Chest;Internal organs;Organ trauma;Pneumothorax
COX;Injury;Chest;Internal organs;Organ trauma;Lung/heart traumatic injury
CPB1;Injury;Chest;Non-specific;Injury without tissue type specified;Exercise-related breast pain
CPX;Injury;Chest;Non-specific;Injury without tissue type specified;Chest injury without tissue type specified
CZ1;Injury;Chest;Non-specific;Unknown;Chest pain undiagnosed
DMM;Injury;Thoracic spine;Muscle/tendon;Muscle injury;Thoracic muscle strain/spasm/trigger points
DM1;Injury;Thoracic spine;Muscle/tendon;Muscle injury;Thoracic extensor muscle strain
DH1;Injury;Thoracic spine;Superficial tissues/skin;Contusion (superficial);Thoracic soft tissue bruising/haematoma
DFX;Injury;Thoracic spine;Bone;Fracture;Thoracic spine fracture
DFT;Injury;Thoracic spine;Bone;Fracture;Fracture transverse or posterior process thoracic spine
DF1;Injury;Thoracic spine;Bone;Fracture;Fracture thoracic vertebral body
DSX;Injury;Thoracic spine;Bone;Bone stress injury;Thoracic spine stress/compression fracture
DJX;Injury;Thoracic spine;Bone;Bone contusion;Thoracic spine bone contusion
LN3;Injury;Lumbosacral;Nervous;Brain/spinal cord injury;Lumbar spinal canal stenosis
LN2;Injury;Lumbosacral;Nervous;Peripheral nerve injury;Lumbar nerve root impingement due to foraminal stenosis bony and disc
DC1;Injury;Thoracic spine;Cartilage/synovium/bursa;Cartilage injury;Thoracic disc prolapse
DA1;Injury;Thoracic spine;Cartilage/synovium/bursa;Arthritis;Facet joint osteoarthritis thoracic spine
DAX;Injury;Thoracic spine;Cartilage/synovium/bursa;Arthritis;Thoracic spine osteoarthritis
DQV;Injury;Thoracic spine;Cartilage/synovium/bursa;Synovitis/capsulitis;Inflammation/stiffness of costovertebral joints
DLJ;Injury;Thoracic spine;Ligament/joint capsule;Joint sprain;Thoracic spine joint injury
DL1;Injury;Thoracic spine;Ligament/joint capsule;Joint sprain;Thoracic facet joint sprain
DUV;Injury;Thoracic spine;Ligament/joint capsule;Chronic instability;Costovertebral joint instability
DKX;Injury;Thoracic spine;Muscle/tendon;Laceration;Thoracic laceration
DIX;Injury;Thoracic spine;Superficial tissues/skin;Abrasion;Thoracic abrasion (including infection)
