osiics_15_code;osiics_15_diagnosis;osiics_15_body_part;osiics_15_tissue;osiics_15_pathology;osiics_15_organ_system;osiics_15_eitiology
RK1;Complication of forearm laceration including infection;Forearm;Superficial tissues/skin ;Laceration ;;
RM1;Forearm Muscle Injury;Forearm;Muscle/tendon ;Muscle injury;;
RME;Forearm extensor muscle strain;Forearm;Muscle/tendon ;Muscle injury;;
RMF;Forearm flexor muscle strain;Forearm;Muscle/tendon ;Muscle injury;;
RMT;Forearm muscle soreness;Forearm;Muscle/tendon ;Muscle injury;;
RTX;Forearm Tendon Injury;Forearm;Muscle/tendon ;Tendinopathy ;;
RTE;Forearm extensor tendon injury;Forearm;Muscle/tendon ;Tendinopathy ;;
RT1;Forearm extensor tendinopathy;Forearm;Muscle/tendon ;Tendinopathy ;;
RTY;Forearm extensor tenosynovitis;Forearm;Muscle/tendon ;Tendinopathy ;;
RTI;Intersection syndrome;Forearm;Muscle/tendon ;Tendinopathy ;;
RTF;Forearm flexor tendon injury;Forearm;Muscle/tendon ;Tendinopathy ;;
RF1;Fractured forearm bone(s);Forearm;Bone ;Fracture ;;
RFB;Fracture radius and ulna midshaft;Forearm;Bone ;Fracture ;;
RFR;Fracture radius midshaft;Forearm;Bone ;Fracture ;;
RFG;Galeazzi fracture - midshaft radius fracture, dislocation distal radioulnar joint;Forearm;Bone ;Fracture ;;
RFM;Fractured ulna midshaft;Forearm;Bone ;Fracture ;;
RFA;Monteggia Fracture - midshaft ulna fracture and dislocation radial head at elbow;Forearm;Bone ;Fracture ;;
RSX;Forearm Stress Fracture;Forearm;Bone ;Bone stress injury ;;
RS1;Stress fracture radius and/or ulna;Forearm;Bone ;Bone stress injury ;;
RP1;Other Stress/Overuse injuries to Forearm;Forearm;Non-specific ;Pain without tissue type specified ;;
RTS;Forearm splints/medial ulnar stress syndrome;Forearm;Muscle/tendon ;Tendinopathy ;;
RYC;Forearm compartment syndrome;Forearm;Muscle/tendon ;Muscle compartment syndrome ;;
RNX;Forearm Neurological Injury;Forearm;Nervous system;Nerve injury;;
RZX;Forearm Pain/Injury not otherwise specified;Forearm;Non-specific ;Unknown;;
RZ1;Forearm Pain/Injury undiagnosed;Forearm;Non-specific ;Unknown;;
WV1;Wrist Soft Tissue Bruising/Haematoma;Wrist;Vessels;Contusion/vascular;;
WH1;Wrist bruising/haematoma;Wrist;Muscle/tendon ;Muscle contusion ;;
PH1;Hand muscle bruising/haematoma;Hand;Muscle/tendon ;Muscle contusion ;;
WIX;Wrist abrasion ;Wrist;Superficial tissues/skin ;Abrasion ;;
PVT;Thumb bruising/haematoma;Hand;Vessels;Contusion/vascular;;
PIX;Hand abrasion ;Hand;Superficial tissues/skin ;Abrasion ;;
PVH;Thumbnail haematoma;Hand;Vessels;Contusion/vascular;;
WVF;Finger bruising/haematoma;Wrist;Vessels;Contusion/vascular;;
PVN;Fingernail haematoma;Hand;Vessels;Contusion/vascular;;
PK2;Wrist and Hand Laceration/Abrasion;Hand;Superficial tissues/skin ;Laceration ;;
WKW;Wrist laceration/abrasion;Wrist;Superficial tissues/skin ;Laceration ;;
WK1;Dorsal wrist laceration/abrasion;Wrist;Superficial tissues/skin ;Laceration ;;
WKV;Volar wrist laceration/abrasion;Wrist;Superficial tissues/skin ;Laceration ;;
PKH;Hand laceration;Hand;Superficial tissues/skin ;Laceration ;;
PKD;Dorsal hand laceration;Hand;Superficial tissues/skin ;Laceration ;;
WKL;Palmar hand laceration;Wrist;Superficial tissues/skin ;Laceration ;;
PKT;Thumb laceration;Hand;Superficial tissues/skin ;Laceration ;;
WKPU;Laceration of thumb nail/nailbed;Wrist;Superficial tissues/skin ;Laceration ;;
PKF;Finger laceration;Hand;Superficial tissues/skin ;Laceration ;;
PKN;Laceration of fingernail/nailbed;Hand;Superficial tissues/skin ;Laceration ;;
WKB;Blisters of wrist/hand (incl fingers/thumb);Wrist;Superficial tissues/skin ;Laceration ;;
WKC;Callous of Wrist/hand (incl fingers/thumb);Wrist;Superficial tissues/skin ;Laceration ;;
WMX;Wrist and Hand Muscle Injury;Wrist;Muscle/tendon ;Muscle injury;;
WTX;Wrist Tendon Injury;Wrist;Muscle/tendon ;Tendinopathy ;;
WTT;Thumb tendon injury;Wrist;Muscle/tendon ;Tendinopathy ;;
WT1;De Quervain's tenosynovitis;Wrist;Muscle/tendon ;Tendinopathy ;;
WRE;Other tenosynovitis/tendinopathy thumb;Wrist;Muscle/tendon ;Tendon rupture ;;
WR1;Rupture thumb extensor tendon (excl if complication of wrist fracture - see specific fracture);Wrist;Muscle/tendon ;Tendon rupture ;;
PRX;Rupture thumb flexor tendon;Hand;Muscle/tendon ;Tendon rupture ;;
PTT;Trigger thumb;Hand;Muscle/tendon ;Tendinopathy ;;
WTD;Wrist extensor tendon injury;Wrist;Muscle/tendon ;Tendinopathy ;;
WTE;wrist extensor tenosynovitis/tendinopathy at wrist;Wrist;Muscle/tendon ;Tendinopathy ;;
WRD;Rupture wrist extensor tendon;Wrist;Muscle/tendon ;Tendon rupture ;;
PR1;Finger extensor tendon injury (incl mallet finger +/- avulsion fracture distal phalanx);Hand;Muscle/tendon ;Tendon rupture ;;
PRD;Finger(s) extensor tenosynovitis/tendinopathy;Hand;Muscle/tendon ;Tendon rupture ;;
PRA;Index finger extensor tendon rupture;Hand;Muscle/tendon ;Tendon rupture ;;
PRB;Middle finger extensor tendon rupture;Hand;Muscle/tendon ;Tendon rupture ;;
PRC;Ring finger extensor tendon rupture;Hand;Muscle/tendon ;Tendon rupture ;;
PRE;Little finger extensor tendon rupture;Hand;Muscle/tendon ;Tendon rupture ;;
WTF;Wrist flexor tenosynovitis/tendinopathy;Wrist;Muscle/tendon ;Tendinopathy ;;
WT3;Rupture wrist flexor tendon;Wrist;Muscle/tendon ;Tendinopathy ;;
PRF;Flexor tendon rupture finger(s);Hand;Muscle/tendon ;Tendon rupture ;;
PTF;Finger flexor tenosynovitis/tendinopathy;Hand;Muscle/tendon ;Tendinopathy ;;
PT1;Index finger flexor tendon rupture;Hand;Muscle/tendon ;Tendinopathy ;;
PRT;Middle finger flexor tendon rupture;Hand;Muscle/tendon ;Tendon rupture ;;
PR4;Ring finger flexor tendon rupture;Hand;Muscle/tendon ;Tendon rupture ;;
PR5;Little finger flexor tendon rupture;Hand;Muscle/tendon ;Tendon rupture ;;
PTD;Dupytren's Contracture;Hand;Muscle/tendon ;Tendinopathy ;;
PTG;Trigger Finger;Hand;Muscle/tendon ;Tendinopathy ;;
PTP;Flexor pully Injury fingers;Hand;Muscle/tendon ;Tendinopathy ;;
PL2;Other hand or finger ligament tear;Hand;Ligament/joint capsule ;Ligament;;
WLJ;Sprained/jarred wrist joint;Wrist;Ligament/joint capsule ;Ligament;;
WT2;Wrist ganglion;Wrist;Muscle/tendon ;Tendinopathy ;;
WJ1;Other complication of wrist sprain;Wrist;Bone ;Bone contusion  ;;
WLL;Scapholunate ligament sprain/tear;Wrist;Ligament/joint capsule ;Ligament;;
WLS;Scapholunate ligament sprain;Wrist;Ligament/joint capsule ;Ligament;;
WLR;Scapholunate ligament rupture;Wrist;Ligament/joint capsule ;Ligament;;
WJC;Other carpal ligament injury;Wrist;Bone ;Bone contusion  ;;
WL1;Lunate - triquetral sprain;Wrist;Ligament/joint capsule ;Ligament;;
WJ2;Distal radioulnar joint injury;Wrist;Bone ;Bone contusion  ;;
WC1;Wrist fibrocartilage tear;Wrist;Cartilage/synovium/bursa ;Cartilage ;;
PLS;Thumb sprain;Hand;Ligament/joint capsule ;Ligament;;
PLC;Thumb CMC joint sprain;Hand;Ligament/joint capsule ;Ligament;;
PL1;Sprained ulnar collateral ligament (Skier's) thumb;Hand;Ligament/joint capsule ;Ligament;;
PLU;Thumb ulnar collateral ligament (UCL) rupture at MCP joint (skier's thumb);Hand;Ligament/joint capsule ;Ligament;;
PLR;Thumb radial collateral ligament (RCL) rupture at MCP joint;Hand;Ligament/joint capsule ;Ligament;;
PLT;Thumb IP joint sprain;Hand;Ligament/joint capsule ;Ligament;;
PLM;Metacarpophalangeal joint sprain;Hand;Ligament/joint capsule ;Ligament;;
PUQ;Complication of MCP joint sprain excl chronic instability;Hand;Ligament/joint capsule ;Chronic instability ;;
PFA;Avulsion fracture phalanx;Hand;Bone ;Fracture ;;
WCX;Wrist Osteochondral/Chondral Injury;Wrist;Cartilage/synovium/bursa ;Cartilage ;;
WDX;Wrist and Hand Dislocations;Wrist;Ligament/joint capsule ;Joint sprain;;
WDW;Radiocarpal joint dislocation;Wrist;Ligament/joint capsule ;Joint sprain;;
WDD;Distal radioulnar joint dislocation;Wrist;Ligament/joint capsule ;Joint sprain;;
WD1;Dislocation through carpus;Wrist;Ligament/joint capsule ;Joint sprain;;
WDC;Dislocation of CMC joint of fingers;Wrist;Ligament/joint capsule ;Joint sprain;;
WDP;Dislocation of thumb joint;Wrist;Ligament/joint capsule ;Joint sprain;;
PDQ;Dislocation CMC joint thumb;Hand;Ligament/joint capsule ;Joint sprain;;
PDT;Dislocation of MCP joint thumb;Hand;Ligament/joint capsule ;Joint sprain;;
PDF;Dislocation of interphalangeal (IP) joint thumb;Hand;Ligament/joint capsule ;Joint sprain;;
PDA;Complication of thumb joint dislocation;Hand;Ligament/joint capsule ;Joint sprain;;
PDW;Dislocation of MCP joint finger(s);Hand;Ligament/joint capsule ;Joint sprain;;
PDB;MCP joint dislocation index finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDC;MCP joint dislocation middle finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDD;MCP joint dislocation ring finger;Hand;Ligament/joint capsule ;Joint sprain;;
PD5;MCP joint dislocation little finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDE;MCP joint dislocation of two or more fingers;Hand;Ligament/joint capsule ;Joint sprain;;
PUK;Complication of finger MCP joint sprain;Hand;Ligament/joint capsule ;Chronic instability ;;
PD1;Dislocated metacarpophalangeal or interphalangeal joint;Hand;Ligament/joint capsule ;Joint sprain;;
PDG;Proximal interphalangeal (PIP) joint dislocation index finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDH;PIP joint dislocation middle finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDI;PIP joint dislocation ring finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDJ;PIP joint dislocation little finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDK;Distal interphalangeal (DIP) joint dislocation index finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDL;DIP joint dislocation middle finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDM;DIP joint dislocation ring finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDS;DIP joint dislocation little finger;Hand;Ligament/joint capsule ;Joint sprain;;
PDN;Multiple PIP and/or DIP joint dislocations;Hand;Ligament/joint capsule ;Joint sprain;;
PDV;Finger joint dislocation with volar plate injury;Hand;Ligament/joint capsule ;Joint sprain;;
PDY;PIP joint dislocation finger unknown;Hand;Ligament/joint capsule ;Joint sprain;;
PDX;DIP joint dislocation finger unknown;Hand;Ligament/joint capsule ;Joint sprain;;
PUD;Complication of PIP/DIP joint dislocation;Hand;Ligament/joint capsule ;Chronic instability ;;
WUX;Chronic Wrist Instability;Wrist;Ligament/joint capsule ;Chronic instability ;;
WUW;Radiocarpal joint instability;Wrist;Ligament/joint capsule ;Chronic instability ;;
WUC;Carpal instability;Wrist;Ligament/joint capsule ;Chronic instability ;;
WUV;VISI (Volar intercalated segmental instability) wrist;Wrist;Ligament/joint capsule ;Chronic instability ;;
WU1;Scapholunate Dorsal intercalated segment instability (DISI);Wrist;Ligament/joint capsule ;Chronic instability ;;
WU2;Distal radioulnar joint instability;Wrist;Ligament/joint capsule ;Chronic instability ;;
WUP;Thumb Instability;Wrist;Ligament/joint capsule ;Chronic instability ;;
PUC;Instability 1st CMC joint;Hand;Ligament/joint capsule ;Chronic instability ;;
PUM;Instability 1st MCP joint;Hand;Ligament/joint capsule ;Chronic instability ;;
PUI;Interphalangeal joint instability of thumb;Hand;Ligament/joint capsule ;Chronic instability ;;
PUF;Finger MCP joint instability;Hand;Ligament/joint capsule ;Chronic instability ;;
PU1;Finger PIP or DIP joint instability;Hand;Ligament/joint capsule ;Chronic instability ;;
WP1;Wrist and Hand Impingement/Synovitis;Wrist;Non-specific ;Pain without tissue type specified ;;
WQW;Chronic synovitis of wrist;Wrist;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
WQU;Ulnar abutment syndrome;Wrist;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
PQX;Chronic synovitis of thumb;Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
PQC;Chronic synovitis of 1st CMC joint ;Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
PQM;Chronic synovitis of 1st MCP joint;Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
PQI;Chronic Synovitis of IP joint thumb;Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
PQF;Chronic synovitis of fingers;Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
PQJ;Chronic synovitis of MCP joint(s);Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
PQP;Chronic synovitis of PIP joint(s);Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
PQD;Chronic synovitis of DIP joint(s);Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
WFR;Fracture of distal radius +/- ulna;Wrist;Bone ;Fracture ;;
RFC;Colles fracture radius;Forearm;Bone ;Fracture ;;
RFS;Smiths fracture distal radius;Forearm;Bone ;Fracture ;;
WFS;Fracture radial styloid;Wrist;Bone ;Fracture ;;
WF3;Wrist fracture with complication (e.g. extensor pollicus longus rupture);Wrist;Bone ;Fracture ;;
RFU;Fracture of distal ulna;Forearm;Bone ;Fracture ;;
RJX;Forearm bone contusion  ;Forearm;Bone ;Bone contusion  ;;
WFU;Fracture of ulna styloid;Wrist;Bone ;Fracture ;;
WF1;Fractured scaphoid;Wrist;Bone ;Fracture ;;
WFP;Fracture proximal pole scaphoid;Wrist;Bone ;Fracture ;;
WFW;Fracture waist scaphoid;Wrist;Bone ;Fracture ;;
WFD;Fracture distal pole scaphoid;Wrist;Bone ;Fracture ;;
WEN;Non union fractured scaphoid;Wrist;Bone ;Avascular necrosis ;;
WFH;Fractured hamate;Wrist;Bone ;Fracture ;;
WFO;Fractured hook of hamate;Wrist;Bone ;Fracture ;;
WFT;Fractured trapezium;Wrist;Bone ;Fracture ;;
WF2;Fracture other carpal bone;Wrist;Bone ;Fracture ;;
WFM;Fracture multiple carpal bones;Wrist;Bone ;Fracture ;;
PFT;Fractured thumb;Hand;Bone ;Fracture ;;
PF7;Fracture shaft 1st metacarpal;Hand;Bone ;Fracture ;;
PF1;Bennett's fracture/dislocation thumb;Hand;Bone ;Fracture ;;
PFR;Rolando fracture (comminuted fracture base 1st MC);Hand;Bone ;Fracture ;;
PFF;Fracture proximal phalanx of thumb;Hand;Bone ;Fracture ;;
PFK;Fracture distal phalanx thumb;Hand;Bone ;Fracture ;;
PFM;Fracture metacarpals 2- 5;Hand;Bone ;Fracture ;;
PFX;Multiple metacarpal fractures;Hand;Bone ;Fracture ;;
PFB;Fracture 2nd metacarpal;Hand;Bone ;Fracture ;;
PFC;Fracture 3rd metacarpal;Hand;Bone ;Fracture ;;
PF2;Fracture 4th metacarpal;Hand;Bone ;Fracture ;;
PFE;Fifth metacarpal fracture;Hand;Bone ;Fracture ;;
PF3;Fractured phalanx;Hand;Bone ;Fracture ;;
PFG;Proximal phalanx fracture index finger;Hand;Bone ;Fracture ;;
PFH;Proximal phalanx fracture middle finger;Hand;Bone ;Fracture ;;
PFI;Proximal phalanx fracture ring finger;Hand;Bone ;Fracture ;;
PFJ;Proximal phalanx fracture little finger;Hand;Bone ;Fracture ;;
PFL;Middle phalanx fracture index finger;Hand;Bone ;Fracture ;;
PFD;Middle phalanx fracture middle finger;Hand;Bone ;Fracture ;;
PFN;Middle phalanx fracture ring finger;Hand;Bone ;Fracture ;;
PFO;Middle phalanx fracture little finger;Hand;Bone ;Fracture ;;
PFP;Distal phalanx fracture index finger;Hand;Bone ;Fracture ;;
PFQ;Distal phalanx fracture middle finger;Hand;Bone ;Fracture ;;
PFS;Distal phalanx fracture ring finger;Hand;Bone ;Fracture ;;
PF5;Distal phalanx fracture little finger;Hand;Bone ;Fracture ;;
PFU;Multiple phalangeal fractures fingers;Hand;Bone ;Fracture ;;
PQ1;Complication from finger fracture (incl malunion);Hand;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
WSX;Wrist and Hand Stress/Overuse Injuries;Wrist;Bone ;Bone stress injury ;;
WS1;Carpal stress fracture;Wrist;Bone ;Bone stress injury ;;
PJX;Hand bone contusion  ;Hand;Bone ;Bone contusion  ;;
WSH;Hand stress fracture (incl thumb and fingers);Wrist;Bone ;Bone stress injury ;;
PSS;Sesamoiditis of thumb;Hand;Bone ;Bone stress injury ;;
WNX;Wrist Neurological Injury;Wrist;Nervous system;Nerve injury;;
WN1;Carpal Tunnel Syndrome;Wrist;Nervous system;Nerve injury;;
WNU;Wrist ulnar nerve injury;Wrist;Nervous system;Nerve injury;;
WVX;Wrist Vascular Injury;Wrist;Vessels;Contusion/vascular;;
WVA;Wrist arterial injury (incl aneurysm);Wrist;Vessels;Contusion/vascular;;
WEW;Avascular necrosis in wrist/hand;Wrist;Bone ;Avascular necrosis ;;
WES;Avascular necrosis scaphoid;Wrist;Bone ;Avascular necrosis ;;
WEL;Avascular necrosis lunate;Wrist;Bone ;Avascular necrosis ;;
WA1;Wrist Osteoarthritis (O/A);Wrist;Cartilage/synovium/bursa ;Arthritis ;;
WAW;Wrist (radiocarpal) osteoarthritis;Wrist;Cartilage/synovium/bursa ;Arthritis ;;
WAS;Scapholunate advanced collapse (SLAC);Wrist;Cartilage/synovium/bursa ;Arthritis ;;
PAT;Osteoarthritis of thumb;Hand;Cartilage/synovium/bursa ;Arthritis ;;
PAC;Carpometacarpal (CMC) joint O/A;Hand;Cartilage/synovium/bursa ;Arthritis ;;
PAM;Metacarpophalangeal (MCP) joint O/A;Hand;Cartilage/synovium/bursa ;Arthritis ;;
PAI;Interphalangeal joint O/A;Hand;Cartilage/synovium/bursa ;Arthritis ;;
PAF;Osteoarthritis of fingers;Hand;Cartilage/synovium/bursa ;Arthritis ;;
PAP;PIP joint O/A fingers;Hand;Cartilage/synovium/bursa ;Arthritis ;;
PA1;DIP joint O/A fingers;Hand;Cartilage/synovium/bursa ;Arthritis ;;
WZ1;Other Wrist Injury not otherwise specified;Wrist;Non-specific ;Unknown;;
PP2;Chronic regional pain syndrome;Hand;Non-specific ;Pain without tissue type specified ;;
WZW;Other wrist pain not otherwise specified;Wrist;Non-specific ;Unknown;;
PZH;Other hand pain not otherwise specified;Wrist;Non-specific ;Unknown;;
PPT;Other thumb pain not otherwise specified;Hand;Non-specific ;Pain without tissue type specified ;;
PP1;Other finger pain not otherwise specified;Hand;Non-specific ;Pain without tissue type specified ;;
WZZ;Wrist or hand pain undiagnosed;Wrist;Non-specific ;Unknown;;
CH2;Chest Wall Soft Tissue Bruising/Haematoma;Chest;Muscle/tendon ;Muscle contusion ;;
CJ1;Bruised ribs/chest wall;Chest;Bone ;Bone contusion  ;;
CJS;Bruised sternum;Chest;Bone ;Bone contusion  ;;
CVBH;Breast haematoma/trauma;Chest;Vessels;Contusion/vascular;;
CKX;Chest Wall laceration/Abrasion;Chest;Superficial tissues/skin ;Laceration ;;
CII;Chest wall abrasion (incl complications);Chest;Superficial tissues/skin ;Abrasion ;;
CM2;Chest muscle strain;Chest;Muscle/tendon ;Muscle injury;;
CT1;Intercostal tendinopathy;Chest;Muscle/tendon ;Tendinopathy ;;
CLX;Chest Joint Sprains;Chest;Ligament/joint capsule ;Ligament;;
CLS;Sternoclavicular joint sprains;Chest;Ligament/joint capsule ;Ligament;;
CLA;Anterior sternoclavicular (S/C) joint sprain;Chest;Ligament/joint capsule ;Ligament;;
CLP;Posterior sternoclavicular joint sprain;Chest;Ligament/joint capsule ;Ligament;;
CC1;Costal cartilage/costochondral joint injury;Chest;Cartilage/synovium/bursa ;Cartilage ;;
CL1;Costovertebral joint sprains;Chest;Ligament/joint capsule ;Ligament;;
CDX;Chest Dislocations;Chest;Ligament/joint capsule ;Joint sprain;;
CDS;Sternoclavicular joint dislocation;Chest;Ligament/joint capsule ;Joint sprain;;
CDP;Posterior sternoclavicular joint dislocation;Chest;Ligament/joint capsule ;Joint sprain;;
CDC;Costochondral joint dislocation;Chest;Ligament/joint capsule ;Joint sprain;;
CUS;Sternoclavicular joint instability;Chest;Ligament/joint capsule ;Chronic instability ;;
CUC;Costochondral joint instability;Chest;Ligament/joint capsule ;Chronic instability ;;
DUV;Costovertebral joint instability;Thoracic Spine;Ligament/joint capsule ;Chronic instability ;;
CQC;Synovitis of Chest Joint;Chest;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
CQS;Synovitis of Sternoclavicular joint;Chest;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
CCR;Costochondritis;Chest;Cartilage/synovium/bursa ;Cartilage ;;
DQV;Inflammation/stiffness of costovertebral joints;Thoracic Spine;Cartilage/synovium/bursa ;Synovitis/capsulitis;;
DSX;Thoracic spine stress/compression fracture;Thoracic Spine;Bone ;Bone stress injury ;;
CFX;Chest Fracture(s);Chest;Bone ;Fracture ;;
CF1;Fractured rib(s);Chest;Bone ;Fracture ;;
CFC;Fracture of costochondral margin;Chest;Bone ;Fracture ;;
CFA;Fracture upper rib (1- 4);Chest;Bone ;Fracture ;;
CFB;Fracture Middle rib (5 - 9);Chest;Bone ;Fracture ;;
CFL;Fracture lower rib (10 - 12;Chest;Bone ;Fracture ;;
CFM;Fracture multiple ribs;Chest;Bone ;Fracture ;;
CF2;Sternal fracture;Chest;Bone ;Fracture ;;
CS1;Stress fracture rib(s);Chest;Bone ;Bone stress injury ;;
CSR;Stress reaction rib(s);Chest;Bone ;Bone stress injury ;;
COX;Lung/Heart Traumatic Injury;Chest;Internal organs ;Organ trauma ;;
COP;Pneumothorax;Chest;Internal organs ;Organ trauma ;;
CO1;Haemothorax;Chest;Internal organs ;Organ trauma ;;
CPX;Chest injury without tissue type specified ;Chest;Non-specific ;Pain without tissue type specified ;;
CZ1;Chest pain undiagnosed;Chest;Non-specific ;Unknown;;
OOH;Trunk and Abdominal Injury;Abdomen;Internal organs ;Organ trauma ;;
OH1;Abdominopelvic Soft Tissue Bruising/Haematoma;Abdomen;Muscle/tendon ;Muscle contusion ;;
OKX;Truncal Laceration/Abrasion;Abdomen;Superficial tissues/skin ;Laceration ;;
OIX;Complication of abrasion to trunk - including infection;Abdomen;Superficial tissues/skin ;Abrasion ;;
OKS;Truncal laceration requiring suturing;Abdomen;Superficial tissues/skin ;Laceration ;;
CK8;Truncal laceration/abrasion not requiring suturing;Chest;Superficial tissues/skin ;Laceration ;;
OMT;Abdominal muscle soreness or spasm;Abdomen;Muscle/tendon ;Muscle injury;;
OMM;Truncal Muscle Strain;Abdomen;Muscle/tendon ;Muscle injury;;
OMO;Abdominal oblique muscle strain;Abdomen;Muscle/tendon ;Muscle injury;;
OMA;Transversus abdominis muscle strain;Abdomen;Muscle/tendon ;Muscle injury;;
GMR;Rectus abdominus strain;Groin/hip;Muscle/tendon ;Muscle injury;;
OM1;Truncal Muscle Trigger Points/Spasm;Abdomen;Muscle/tendon ;Muscle injury;;
OMY;Rectus abdominis trigger points/spasm;Abdomen;Muscle/tendon ;Muscle injury;;
OMW;Winded;Abdomen;Muscle/tendon ;Muscle injury;;
OPY;Abdominal muscle cramps;Abdomen;Non-specific ;Pain without tissue type specified ;;
OTX;Abdominal tendon Injury;Abdomen;Muscle/tendon ;Tendinopathy ;;
OTR;Rectus abdominus tendinopathy;Abdomen;Muscle/tendon ;Tendinopathy ;;
OT1;Divarication of rectus abdominis;Abdomen;Muscle/tendon ;Tendinopathy ;;
OTU;Umbilical Hernia;Abdomen;Muscle/tendon ;Tendinopathy ;;
OT2;Costolliac impingement;Abdomen;Muscle/tendon ;Tendinopathy ;;
OOX;Abdominal organ Injury;Abdomen;Internal organs ;Organ trauma ;;
OOS;Spleen trauma;Abdomen;Internal organs ;Organ trauma ;;
OO1;Intestinal trauma;Abdomen;Internal organs ;Organ trauma ;;
OOL;Liver trauma;Abdomen;Internal organs ;Organ trauma ;;
OOP;Pancreatic trauma;Abdomen;Internal organs ;Organ trauma ;;
OOK;Kidney trauma;Abdomen;Internal organs ;Organ trauma ;;
OOM;Multiple organ trauma;Abdomen;Internal organs ;Organ trauma ;;
OOZ;Other organ trauma not otherwise specified;Abdomen;Internal organs ;Organ trauma ;;
GOP;Pelvic Organ Injury;Groin/hip;Internal organs ;Organ trauma ;;
OOB;Bladder trauma;Abdomen;Internal organs ;Organ trauma ;;
OZX;Abdominal pain not otherwise specified;Abdomen;Non-specific ;Unknown;;
OZ1;Abdominal pain undiagnosed;Abdomen;Non-specific ;Unknown;;
DH1;Thoracic Soft Tissue Bruising/Haematoma;Thoracic Spine;Muscle/tendon ;Muscle contusion ;;
DKX;Thoracic Laceration;Thoracic Spine;Superficial tissues/skin ;Laceration ;;
DIX;Thoracic abrasion (including infection);Thoracic Spine;Superficial tissues/skin ;Abrasion ;;
DJX;Thoracic spine bone contusion  ;Thoracic Spine;Bone ;Bone contusion  ;;
DMM;Thoracic Muscle Strain/Spasm/Trigger Points;Thoracic Spine;Muscle/tendon ;Muscle injury;;
DM1;Thoracic extensor muscle strain;Thoracic Spine;Muscle/tendon ;Muscle injury;;
DPY;Thoracic muscle trigger points;Thoracic Spine;Non-specific ;Pain without tissue type specified ;;
DLJ;Thoracic spine Joint Injury;Thoracic Spine;Ligament/joint capsule ;Ligament;;
DL1;Thoracic facet joint sprain;Thoracic Spine;Ligament/joint capsule ;Ligament;;
DP1;Chronic thoracic functional pain;Thoracic Spine;Non-specific ;Pain without tissue type specified ;;
DC1;Thoracic disc prolapse;Thoracic Spine;Cartilage/synovium/bursa ;Cartilage ;;
DFX;Thoracic Spine Fracture;Thoracic Spine;Bone ;Fracture ;;
DF1;Fracture thoracic vertebral body;Thoracic Spine;Bone ;Fracture ;;
DFT;Fracture transverse or posterior process thoracic spine;Thoracic Spine;Bone ;Fracture ;;
DPP;Thoracic Functional Pain;Thoracic Spine;Non-specific ;Pain without tissue type specified ;;
DAX;Thoracic spine Osteoarthritis (O/A);Thoracic Spine;Cartilage/synovium/bursa ;Arthritis ;;
DA1;Facet joint O/A thoracic spine;Thoracic Spine;Cartilage/synovium/bursa ;Arthritis ;;
DZX;Thoracic Pain/Injury not otherwise specified;Thoracic Spine;Non-specific ;Unknown;;
DZ1;Thoracic pain undiagnosed;Thoracic Spine;Non-specific ;Unknown;;
LH1;Lumbar contusion/haematoma;Lumbar Spine;Muscle/tendon ;Muscle contusion ;;
LKX;Lumbar Laceration;Lumbar Spine;Superficial tissues/skin ;Laceration ;;
LK1;Complication of lumbosacral laceration incl infection;Lumbar Spine;Superficial tissues/skin ;Laceration ;;
LM1;Lumbar Spine muscle and Tendon Strain/Spasm/Trigger Points;Lumbar Spine;Muscle/tendon ;Muscle injury;;
LMT;Lumbar soreness or muscle spasm;Lumbar Spine;Muscle/tendon ;Muscle injury;;
LGJ;Lumbar Spine Joint Injury;Lumbar Spine;Bone ;Physis injury ;;
LLF;Lumbar facet joint sprain;Lumbar Spine;Ligament/joint capsule ;Ligament;;
LL1;Lumbar region ligament sprain;Lumbar Spine;Ligament/joint capsule ;Ligament;;
LLI;Iliolumbar Ligament pain;Lumbar Spine;Ligament/joint capsule ;Ligament;;
LC1;Disc prolapse/disruption;Lumbar Spine;Cartilage/synovium/bursa ;Cartilage ;;
